Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Citizens for European Development of Bulgaria,Bulgarian Socialist Party,United Patriots,IMRO – Bulgarian National Movement,National Front for the Salvation of Bulgaria,Attack,Alternative for Bulgarian Revival,Movement for Rights and Freedoms,Volya,Reformist Bloc,Democratic Bulgaria,Democrats for a Strong Bulgaria,"Yes, Bulgaria!",Other
Trend,24 hours,2018-11-06,2018-11-12,National,1004,Provided,59.8%,0.1%,21.2%,19.9%,4.2%,Not Available,Not Available,Not Available,Not Available,6.5%,1.4%,1.1%,1.9%,Not Available,Not Available,3.6%
Exacta,,2018-09-25,2018-10-05,National,1000,Provided,Not Available,1%,39%,33%,10%,Not Available,Not Available,Not Available,Not Available,10%,2%,2%,3%,Not Available,Not Available,Not Available
Alpha Research,,2018-09-23,2018-09-30,National,1027,Provided,63.4%,0.1%,22.2%,19.7%,4.7%,Not Available,Not Available,Not Available,Not Available,6.6%,2.0%,Not Available,2.9%,Not Available,Not Available,5.3%
Sova Harris,BGNES,2018-09-08,2018-09-14,National,1000,Provided,Not Available,1%,41%,34%,9%,Not Available,Not Available,Not Available,Not Available,10%,2%,Not Available,3%,Not Available,Not Available,Not Available
Trend,24 hours,2018-09-04,2018-09-11,National,1006,Provided,63.1%,0.1%,22.9%,19.7%,5.7%,Not Available,Not Available,Not Available,Not Available,6.4%,1.5%,1.3%,2.2%,Not Available,Not Available,3.4%
Mediana,,2018-07-01,2018-07-06,National,1008,Provided,77.7%,0.1%,24.8%,20.5%,9.7%,Not Available,Not Available,Not Available,Not Available,8.3%,2.1%,Not Available,Not Available,Not Available,Not Available,12.3%
Trend,24 hours,2018-06-01,2018-06-09,National,1008,Provided,63.0%,0.1%,23.1%,19.8%,5.5%,Not Available,Not Available,Not Available,Not Available,6.6%,1.9%,1.2%,2.1%,Not Available,Not Available,2.8%
Alpha Research,,2018-05-17,2018-06-25,National,1017,Provided,65.4%,0.1%,24.5%,20.1%,5.0%,Not Available,Not Available,Not Available,Not Available,4.9%,2.2%,Not Available,2.2%,Not Available,Not Available,6.5%
Trend,24 hours,2018-05-02,2018-05-10,National,1009,Provided,61.5%,0.1%,22.8%,19.1%,5.3%,Not Available,Not Available,Not Available,Not Available,6.4%,1.7%,1.3%,2.3%,Not Available,Not Available,2.6%
Trend,24 hours,2018-03-01,2018-03-07,National,1004,Provided,60.4%,0.1%,21.1%,18.4%,5.1%,Not Available,Not Available,Not Available,Not Available,6.6%,1.6%,1.6%,Not Available,1.0%,1.5%,3.5%
Trend,24 hours,2018-01-10,2018-01-18,National,1002,Provided,60.9%,0.1%,21.8%,18.3%,5.3%,Not Available,Not Available,Not Available,Not Available,6.1%,1.6%,1.9%,Not Available,1.0%,1.6%,3.3%
Exacta,,2017-12-07,2017-12-13,National,1000,Provided,67.5%,0.1%,41.3%,30.7%,9.0%,Not Available,Not Available,Not Available,Not Available,8.4%,2.7%,2.1%,Not Available,1.9%,1.0%,2.8%
