Polling firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | AKP  | CHP  | HDP  | MHP  | İYİ  | SP   | GP   | DEVA | MP   | Other
Artıbir      | N/A           | 2020-11-02      | 2020-11-12    | N     | 1500        | N/A           | 0.1       | 36.0 | 26.5 | 11.7 | 9.4  | 11.2 | N/A  | 1.4  | 2.5  | N/A  | 1.3
SAROS        | N/A           | 2020-11-01      | 2020-11-30    | N     | N/A         | N/A           | 0.1       | 39.4 | 21.8 | 13.3 | 10.8 | 10.0 | N/A  | 0.8  | 2.2  | 1.1  | 0.6
MetroPOLL    | N/A           | 2020-11-01      | 2020-11-30    | N     | N/A         | N/A           | 0.1       | 41.3 | 22.4 | 10.4 | 9.1  | 11.2 | 1.5  | 0.8  | 2.2  | N/A  | 1.1
GENAR        | N/A           | 2020-11-01      | 2020-11-26    | N     | 3000        | N/A           | 0.1       | 42.1 | 22.8 | 9.7  | 10.3 | 10.1 | 1.7  | 0.6  | 1.0  | N/A  | 1.7    
İEA          | Self          | 2020-11-01      | 2020-11-18    | N     | 1500        | N/A           | 0.1       | 37.5 | 20.1 | 11.3	| 9.3	 | 16.2 | 0.6  | 1.1  |	2.9	 | N/A  | 1.0
Areda Survey | N/A           | 2020-10-30      | 2020-11-03    | N     | 3055        | N/A           | 0.1       | 42.3 | 23.3 | 9.2  | 11.5 | 9.5  | 1.0  | 0.3  | 0.9  | N/A  | 2.0
AREA         | N/A           | 2020-10-24      | 2020-10-27    | N     | 2238        | N/A           | 0.1       | 37.7 | 23.8 | 11.6 | 11.0 | 12.1 | 0.9  | 0.7  | 1.5  | N/A  | 0.7
AKAM         | Self          | 2020-10-19      | 2020-10-24    | N     | 2460        | N/A           | 0.1       | 32.6 | 28.2 | 11.6 | 8.9  | 12.7 | 0.3  | 2.0  | 3.2  | N/A  | 0.5
MAK          | N/A           | 2020-10-15      | 2020-10-25    | N     | 2500        | N/A           | 0.1       | 38.0 | 24.6 | 10.5 | 8.7  | 11.6 | 1.4  | 2.4  | 2.3  | N/A  | 0.5     
Areda Survey | N/A           | 2020-10-02      | 2020-10-06    | N     | 3000        | N/A           | 0.1       | 42.1 | 23.6 | 9.2  | 10.7 | 9.7  | 0.2  | 1.7  | 1.8  | N/A  | 2.0
Aksoy        | N/A           | 2020-10-01      | 2020-10-31    | N     | 2400        | N/A           | 0.1       | 36.0 | 24.9 | 9.5  | 13.6 | 9.1  | 0.8  | 1.5  | 3.4  | N/A  | 1.2
Optimar      | N/A           | 2020-10-01      | 2020-10-19    | N     | 2047        | N/A           | 0.1       | 41.4 | 23.8 | 10.5 | 9.5  | 9.3  | N/A  | 1.0  | 1.5  | N/A  | 3.0
MetroPOLL    | N/A           | 2020-10-01      | 2020-10-10    | N     | N/A         | N/A           | 0.1       | 38.2 | 23.1 | 11.4 | 10.6 | 11.5 | 1.3  | 1.2  | 2.0  | N/A  | 0.7
İEA          | Self          | 2020-10-01      | 2020-10-10    | N     | 1500        | N/A           | 0.1       | 40.2 | 20.0 | 11.4	| 8.8	 | 15.7 | N/A  | 1.0  |	2.1	 | N/A  | 0.8
AREA         | N/A           | 2020-09-27      | 2020-09-30    | N     | 3088        | N/A           | 0.1       | 40.0 | 22.7 | 10.4 | 10.2 | 12.4 | 1.1  | 1.1  | 1.3  | N/A  | 0.8
Yöneylem     | N/A           | 2020-09-23      | 2020-09-27    | N     | 2402        | N/A           | 0.1       | 34.4 | 27.8 | 11.8 | 8.6  | 11.0 | 1.2  | 1.3  | 3.0  | N/A  | 0.9
AKAM         | Self          | 2020-09-21      | 2020-09-25    | N     | 2460        | N/A           | 0.1       | 37.3 | 27.2 | 10.7 | 8.5  | 11.7 | 0.5  | 2.0  | 1.8  | N/A  | 0.3
MAK          | N/A           | 2020-09-15      | 2020-09-25    | N     | 2850        | N/A           | 0.1       | 38.6 | 24.1 | 8.7  | 8.6  | 12.0 | 1.3  | 2.3  | 2.2  | N/A  | 2.2     
KONDA        | N/A           | 2020-09-01      | 2020-09-30    | N     | N/A         | N/A           | 0.1       | 39.2 | 23.8 | 11.9 | 9.6  | 9.1  | N/A  | 2.1  | 3.0  | N/A  | 1.3
MetroPOLL    | N/A           | 2020-09-01      | 2020-09-30    | N     | N/A         | N/A           | 0.1       | 41.6 | 22.8 | 10.4 | 9.4  | 11.3 | 1.5  | 0.9  | 1.3  | N/A  | 0.8
İEA          | Self          | 2020-09-01      | 2020-09-30    | N     | 1537        | N/A           | 0.1       | 43.3 | 22.3 | 10.4	| 7.6	 | 10.7 | 1.2  | 1.2  |	2.4	 | N/A  | 0.9
SAROS        | N/A           | 2020-09-01      | 2020-09-25    | N     | N/A         | N/A           | 0.1       | 39.9 | 23.6 | 12.1 | 10.3 | 9.1  | N/A  | 2.3  | 1.7  | N/A  | 1.0
AKAM         | Self          | 2020-08-22      | 2020-08-27    | N     | 2460        | N/A           | 0.1       | 36.9 | 28.1 | 10.6 | 7.1  | 11.4 | 0.4  | 2.6  | 2.7  | N/A  | 0.2
AREA         | N/A           | 2020-08-22      | 2020-08-25    | N     | 2210        | N/A           | 0.1       | 38.0 | 22.7 | 10.8 | 10.8 | 11.5 | 1.8  | 1.3  | 1.7  | N/A  | 1.4
ORC          | N/A           | 2020-08-06      | 2020-08-08    | N     | 4120        | N/A           | 0.1       | 36.6 | 25.9 | 9.6  | 14.1 | 8.1  | 0.8  | 1.6  | 2.3  | N/A  | 1.0
Aksoy        | N/A           | 2020-08-05      | 2020-08-06    | N     | 1067        | N/A           | 0.1       | 38.3 | 26.1 | 9.6  | 8.5  | 9.2  | 1.2  | 2.5  | 3.4  | N/A  | 1.1
SONAR        | N/A           | 2020-08-01      | 2020-08-31    | N     | 2850        | N/A           | 0.1       | 39.8 | 27.2 | 8.3  | 11.3 | 10.4 | N/A  | N/A  | N/A  | N/A  | 3.0
MetroPOLL    | N/A           | 2020-08-01      | 2020-08-31    | N     | N/A         | N/A           | 0.1       | 39.5 | 26.7 | 9.6  | 9.5  | 9.6  | 1.8  | 0.9  | 1.0  | N/A  | 1.4
İEA          | Self          | 2020-08-01      | 2020-08-31    | N     | 1537        | N/A           | 0.1       | 39.1 | 22.6 | 9.6  | 14.1 | 8.1  | 0.8  | 1.6  | 2.3  | N/A  | 0.8
AKAM         | Self          | 2020-07-25      | 2020-07-29    | N     | 2460        | N/A           | 0.1       | 35.0 | 28.4 | 11.7 | 7.4  | 12.4 | N/A  | 2.3  | 2.2  | N/A  | 0.6
AREA         | N/A           | 2020-07-25      | 2020-07-27    | N     | 2212        | N/A           | 0.1       | 39.1 | 24.4 | 10.3 | 8.0  | 10.1 | 1.2  | 2.2  | 2.7  | N/A  | 2.0
Artıbir      | N/A           | 2020-07-18      | 2020-07-26    | N     | 1500        | N/A           | 0.1       | 36.9 | 27.3 | 11.7 | 8.9  | 11.0 | 1.1  | 1.3  | 1.9  | N/A  | 0.9
MetroPOLL    | N/A           | 2020-07-01      | 2020-07-31    | N     | N/A         | N/A           | 0.1       | 42.1 | 26.0 | 10.1 | 7.6  | 8.7  | 1.0  | 2.5  | 1.6  | N/A  | 0.4
ORC          | N/A           | 2020-06-15      | 2020-07-08    | N     | 53560       | N/A           | 0.1       | 37.3 | 26.2 | 10.4 | 13.0 | 6.8  | 1.1  | 1.7  | 2.6  | N/A  | 0.9    
İEA          | Self          | 2020-06-29      | 2020-06-30    | N     | 1514        | N/A           | 0.1       | 40.7 | 20.8 | 11.7 | 10.6 | 10.3 | 1.1  | 0.9  | 2.7  | N/A  | 1.2
AREA         | N/A           | 2020-06-24      | 2020-06-27    | N     | 2220        | N/A           | 0.1       | 37.0 | 24.6 | 10.5 | 10.1 | 11.0 | 1.2  | 1.2  | 3.3  | N/A  | 1.1
MAK          | N/A           | 2020-06-12      | 2020-06-17    | N     | 2600        | N/A           | 0.1       | 35.5 | 25.3 | 9.3  | 10.8 | 11.0 | 1.2  | 2.9  | 2.8  | N/A  | 1.2     
AKAM         | Self          | 2020-06-09      | 2020-06-12    | N     | 1410        | N/A           | 0.1       | 35.1 | 28.0 | 12.0 | 7.1  | 12.1 | N/A  | 2.4  | 3.0  | N/A  | 0.3
S. Politik   | N/A           | 2020-06-08      | 2020-06-14    | N     | 1248        | N/A           | 0.1       | 35.1 | 24.1 | 11.8 | 9.0  | 8.2  | 1.6  | 4.2  | 6.0  | N/A  | 0.0 
MetroPOLL    | N/A           | 2020-06-01      | 2020-06-30    | N     | N/A         | N/A           | 0.1       | 37.2 | 29.5 | 10.9 | 7.6  | 8.6  | 1.2  | 1.7  | 2.3  | N/A  | 1.0
SAROS        | N/A           | 2020-06-01      | 2020-06-19    | N     | N/A         | N/A           | 0.1       | 39.9 | 23.6 | 12.1 | 10.3 | 9.1  | N/A  | 2.3  | 1.7  | N/A  | 1.0
İEA          | Self          | 2020-06-01      | 2020-06-09    | N     | N/A         | N/A           | 0.1       | 39.0 | 20.5 | 13.7 | 11.3 | 11.7 | 1.3  | 0.6  | 1.6  | N/A  | 0.3
AKAM         | Self          | 2020-05-20      | 2020-05-25    | N     | 2460        | N/A           | 0.1       | 34.5 | 30.6 | 10.4 | 8.2  | 10.2 | 0.5  | 2.3  | 3.0  | N/A  | 0.3
Yöneylem     | N/A           | 2020-05-19      | 2020-05-23    | N     | 2478        | N/A           | 0.1       | 37.9 | 29.7 | 9.9  | 9.3  | 9.3  | 1.3  | 0.8  | 1.3  | N/A  | 0.5
MAK          | N/A           | 2020-05-11      | 2020-05-11    | N     | 5200        | N/A           | 0.1       | 37.4 | 25.3 | 9.4  | 10.7 | 10.9 | 1.1  | 2.4  | 1.7  | N/A  | 1.1     
AREA         | N/A           | 2020-05-01      | 2020-05-31    | N     | N/A         | N/A           | 0.1       | 39.0 | 24.5 | 10.0 | 8.0  | 12.0 | 1.9  | 1.4  | 2.6  | N/A  | 0.6
MetroPOLL    | N/A           | 2020-05-01      | 2020-05-31    | N     | N/A         | N/A           | 0.1       | 38.5 | 27.2 | 10.5 | 9.2  | 9.7  | 0.9  | 1.6  | 1.6  | N/A  | 0.8
ORC          | N/A           | 2020-05-01      | 2020-05-31    | N     | N/A         | N/A           | 0.1       | 38.4 | 25.6 | 10.3 | 14.1 | 6.4  | 1.1  | 1.9  | 1.0  | N/A  | 1.2    
Optimar      | N/A           | 2020-05-01      | 2020-05-18    | N     | N/A         | N/A           | 0.1       | 42.8 | 23.4 | 9.5  | 10.2 | 9.1  | N/A  | 1.1  | 1.3  | N/A  | 2.6
GENAR        | N/A           | 2020-05-01      | 2020-05-18    | N     | N/A         | N/A           | 0.1       | 45.4 | 23.5 | 10.3 | 9.8  | 8.3  | N/A  | 0.5  | 0.6  | N/A  | 1.6    
SAROS        | N/A           | 2020-05-01      | 2020-05-12    | N     | N/A         | N/A           | 0.1       | 38.8 | 22.6 | 13.1 | 10.8 | 9.6  | N/A  | 2.2  | 2.1  | N/A  | 0.8
İEA          | Self          | 2020-05-01      | 2020-05-05    | N     | N/A         | N/A           | 0.1       | 42.4 | 21.3 | 11.5 | 8.8  | 11.6 | 1.9  | 0.6  | 0.5  | N/A  | 1.3
AREA         | N/A           | 2020-04-27      | 2020-04-29    | N     | 2220        | N/A           | 0.1       | 35.8 | 24.8 | 12.1 | 9.6  | 11.8 | N/A  | N/A  | 2.0  | N/A  | 3.9
Yöneylem     | N/A           | 2020-04-20      | 2020-04-29    | N     | 2409        | N/A           | 0.1       | 38.5 | 24.6 | 12.8 | 9.4  | 8.0  | 1.1  | 2.4  | 2.3  | N/A  | 0.9
MetroPOLL    | N/A           | 2020-04-16      | 2020-04-21    | N     | N/A         | N/A           | 0.1       | 42.4 | 24.6 | 9.1  | 10.0 | 9.8  | 0.6  | 0.6  | 2.1  | N/A  | 0.8
AKAM         | Self          | 2020-04-01      | 2020-04-30    | N     | N/A         | N/A           | 0.1       | 34.0 | 28.4 | 11.1 | 11.7 | 9.0  | 0.5  | 2.5  | 2.7  | N/A  | 0.1
İEA          | Self          | 2020-04-01      | 2020-04-30    | N     | N/A         | N/A           | 0.1       | 38.7 | 22.8 | 12.0 | 13.2 | 10.5 | 1.2  | 0.5  | 0.3  | N/A  | 0.8
Yöneylem     | N/A           | 2020-03-18      | 2020-03-25    | N     | 2605        | N/A           | 0.1       | 40.2 | 26.4 | 11.7 | 9.3  | 8.0  | 0.9  | 1.2  | 1.8  | N/A  | 0.5
KONDA        | N/A           | 2020-03-07      | 2020-03-08    | N     | N/A         | N/A           | 0.1       | 39.4 | 24.0 | 12.2 | 11.8 | 11.1 | N/A  | N/A  | N/A  | N/A  | 1.5
ADA          | N/A           | 2020-03-02      | 2020-03-06    | N     | 1366        | N/A           | 0.1       | 38.3 | 22.6 | 9.7  | 11.2 | 10.5 | 1.3  | 2.0  | 3.4  | N/A  | 1.0     
Polimetre    | N/A           | 2020-03-01      | 2020-03-31    | N     | N/A         | N/A           | 0.1       | 30.0 | 25.3 | 12.8 | 8.9  | 11.1 | 1.5  | N/A  | N/A  | N/A  | 10.4
MetroPOLL    | N/A           | 2020-03-01      | 2020-03-31    | N     | N/A         | N/A           | 0.1       | 44.0 | 23.1 | 9.8  | 9.3  | 8.6  | 1.7  | 1.2  | 1.4  | N/A  | 0.9
İEA          | Self          | 2020-03-01      | 2020-03-31    | N     | N/A         | N/A           | 0.1       | 41.6 | 21.2 | 12.9 | 10.0 | 11.7 | 0.7  | 0.7  | N/A  | N/A  | 1.2
Artıbir      | N/A           | 2020-03-01      | 2020-03-10    | N     | N/A         | N/A           | 0.1       | 35.4 | 30.1 | 10.1 | 10.0 | 10.5 | 1.6  | 1.3  | N/A  | N/A  | 1.0
AREA         | N/A           | 2020-02-01      | 2020-02-29    | N     | N/A         | N/A           | 0.1       | 38.1 | 24.4 | 11.6 | 11.1 | 10.7 | N/A  | N/A  | N/A  | N/A  | 4.1
Artıbir      | N/A           | 2020-02-01      | 2020-02-06    | N     | N/A         | N/A           | 0.1       | 37.4 | 28.9 | 10.1 | 9.9  | 10.5 | 1.1  | 1.3  | N/A  | N/A  | 0.8
Themis       | N/A           | 2020-02-01      | 2020-02-06    | N     | N/A         | N/A           | 0.1       | 38.0 | 29.3 | 8.0  | 10.0 | 7.3  | 3.3  | 0.7  | N/A  | N/A  | 3.4
İEA          | Self          | 2020-02-01      | 2020-02-28    | N     | N/A         | N/A           | 0.1       | 39.7 | 25.1 | 10.5 | 9.2  | 10.8 | 0.3  | 1.1  | N/A  | N/A  | 3.3
Polimetre    | N/A           | 2020-02-01      | 2020-02-20    | N     | N/A         | N/A           | 0.1       | 30.2 | 25.4 | 12.6 | 8.9  | 11.1 | 1.5  | N/A  | N/A  | N/A  | 10.5
KONDA        | N/A           | 2020-02-01      | 2020-02-02    | N     | N/A         | N/A           | 0.1       | 38.4 | 22.3 | 12.4 | 11.2 | 13.8 | N/A  | N/A  | N/A  | N/A  | 3.9
Areda Survey | N/A           | 2020-01-31      | 2020-02-01    | N     | 2987        | N/A           | 0.1       | 40.5 | 24.6 | 11.6 | 9.0  | 9.0  | 0.7  | 1.7  | 1.6  | N/A  | 1.3
Yöneylem     | N/A           | 2020-01-10      | 2020-01-24    | N     | 2507        | N/A           | 0.1       | 38.2 | 24.5 | 11.3 | 9.6  | 8.0  | N/A  | 4.0  | 2.4  | N/A  | 2.0
Artıbir      | N/A           | 2020-01-02      | 2020-01-09    | N     | 1500        | N/A           | 0.1       | 38.0 | 27.3 | 8.5  | 11.3 | 10.1 | 1.6  | 2.3  | N/A  | N/A  | 0.9
MetroPOLL    | N/A           | 2020-01-01      | 2020-01-31    | N     | N/A         | N/A           | 0.1       | 40.0 | 25.5 | 12.1 | 10.1 | 8.3  | 1.2  | 1.2  | 0.8  | N/A  | 0.8
AREA         | N/A           | 2020-01-01      | 2020-01-31    | N     | N/A         | N/A           | 0.1       | 36.2 | 24.8 | 12.9 | 11.3 | 11.1 | N/A  | N/A  | N/A  | N/A  | 3.7
İEA          | Self          | 2020-01-01      | 2020-01-31    | N     | N/A         | N/A           | 0.1       | 38.5 | 22.1 | 13.0 | 9.3  | 10.0 | 1.3  | 1.1  | N/A  | N/A  | 4.7
ORC          | N/A           | 2019-12-28      | 2019-12-31    | N     | 2980        | N/A           | 0.1       | 36.1 | 27.1 | 9.3  | 16.3 | 4.9  | 0.9  | 2.2  | N/A  | N/A  | 2.4    
AREA         | N/A           | 2019-12-01      | 2019-12-31    | N     | N/A         | N/A           | 0.1       | 38.3 | 25.8 | 10.5 | 10.6 | 10.6 | N/A  | N/A  | N/A  | N/A  | 4.2
MetroPOLL    | N/A           | 2019-12-01      | 2019-12-31    | N     | N/A         | N/A           | 0.1       | 41.0 | 24.8 | 11.0 | 9.8  | 8.3  | 0.8  | 2.0  | 1.7  | N/A  | 0.6
MAK          | N/A           | 2019-12-01      | 2019-12-31    | N     | N/A         | N/A           | 0.1       | 38.0 | 24.9 | 9.9  | 11.9 | 11.7 | 1.2  | N/A  | N/A  | N/A  | 2.4     
AR-G         | N/A           | 2019-12-01      | 2019-12-31    | N     | N/A         | N/A           | 0.1       | 36.8 | 26.9 | 12.1 | 10.9 | 9.4  | 1.4  | N/A  | N/A  | N/A  | 2.5 
İEA          | Self          | 2019-12-01      | 2019-12-31    | N     | N/A         | N/A           | 0.1       | 40.1 | 24.9 | 11.6 | 8.6  | 10.0 | N/A  | N/A  | N/A  | N/A  | 4.8
KOMSAR       | N/A           | 2019-12-01      | 2019-12-10    | N     | N/A         | N/A           | 0.1       | 36.1 | 26.8 | 11.8 | 7.2  | 8.8  | 0.8  | 2.2  | 5.5  | N/A  | 0.8
Kadir H.Uni. | N/A           | 2019-11-25      | 2019-12-13    | N     | 1000        | N/A           | 0.1       | 40.2 | 33.0 | 9.2  | 8.1  | 8.3  | N/A  | N/A  | N/A  | N/A  | 1.2
PİAR         | N/A           | 2019-11-19      | 2019-11-24    | N     | 2416        | N/A           | 0.1       | 31.9 | 24.7 | 10.2 | 10.6 | 9.0  | 1.7  | 3.4  | 7.7  | N/A  | 0.8
ORC          | N/A           | 2019-11-09      | 2019-11-12    | N     | 4156        | N/A           | 0.1       | 36.6 | 28.9 | 9.5  | 17.2 | 3.9  | 1.5  | N/A  | N/A  | N/A  | 2.4    
MetroPOLL    | N/A           | 2019-11-01      | 2019-11-30    | N     | N/A         | N/A           | 0.1       | 42.0 | 24.0 | 12.2 | 11.0 | 9.6  | 0.9  | N/A  | N/A  | N/A  | 0.3
AREA         | N/A           | 2019-11-01      | 2019-11-30    | N     | N/A         | N/A           | 0.1       | 38.3 | 23.3 | 12.6 | 11.8 | 10.5 | N/A  | N/A  | N/A  | N/A  | 3.5
İEA          | Self          | 2019-11-01      | 2019-11-30    | N     | N/A         | N/A           | 0.1       | 37.8 | 25.8 | 11.0 | 11.4 | 10.1 | N/A  | N/A  | N/A  | N/A  | 3.9
İEA          | Self          | 2019-11-01      | 2019-11-01    | N     | N/A         | N/A           | 0.1       | 40.2 | 24.8 | 13.7 | 8.2  | 10.3 | N/A  | N/A  | N/A  | N/A  | 2.8
S. Politik   | N/A           | 2019-10-29      | 2019-11-01    | N     | 1937        | N/A           | 0.1       | 38.3 | 27.7 | 10.3 | 7.8  | 4.8  | 0.9  | 3.9  | 2.4  | N/A  | 3.9 
ADA          | N/A           | 2019-10-21      | 2019-10-28    | N     | 1700        | N/A           | 0.1       | 41.9 | 21.3 | 7.5  | 8.4  | 7.5  | 2.3  | N/A  | N/A  | N/A  | 11.1     
AREA         | N/A           | 2019-10-01      | 2019-10-31    | N     | N/A         | N/A           | 0.1       | 37.0 | 24.1 | 12.4 | 11.4 | 10.8 | N/A  | N/A  | N/A  | N/A  | 4.3
MetroPOLL    | N/A           | 2019-10-01      | 2019-10-31    | N     | N/A         | N/A           | 0.1       | 43.2 | 23.4 | 10.7 | 11.9 | 9.3  | 1.1  | N/A  | N/A  | N/A  | 0.4 
Polimetre    | N/A           | 2019-10-01      | 2019-10-07    | N     | N/A         | N/A           | 0.1       | 37.3 | 25.9 | 13.1 | 9.9  | 11.5 | 1.5  | N/A  | N/A  | N/A  | 0.8
Optimar      | N/A           | 2019-09-05      | 2019-09-10    | N     | 1708        | N/A           | 0.1       | 40.5 | 26.7 | 9.2  | 10.8 | 8.9  | 2.0  | N/A  | N/A  | N/A  | 1.9
AR-G         | N/A           | 2019-09-01      | 2019-09-30    | N     | N/A         | N/A           | 0.1       | 37.8 | 28.4 | 9.2  | 11.1 | 7.7  | 1.2  | N/A  | N/A  | N/A  | 4.6 
MetroPOLL    | N/A           | 2019-09-01      | 2019-09-30    | N     | N/A         | N/A           | 0.1       | 40.2 | 24.5 | 12.0 | 10.7 | 10.5 | 1.6  | N/A  | N/A  | N/A  | 0.5
SAROS        | N/A           | 2019-09-01      | 2019-09-21    | N     | N/A         | N/A           | 0.1       | 32.5 | 25.2 | 13.4 | 9.1  | 10.5 | N/A  | 4.2  | 4.4  | N/A  | 0.7
SAROS        | N/A           | 2019-09-01      | 2019-09-21    | N     | N/A         | N/A           | 0.1       | 38.6 | 24.7 | 13.5 | 10.5 | 10.8 | N/A  | N/A  | N/A  | N/A  | 1.9
ORC          | N/A           | 2019-09-01      | 2019-09-11    | N     | N/A         | N/A           | 0.1       | 35.7 | 30.9 | 9.4  | 16.6 | 4.5  | 2.0  | N/A  | N/A  | N/A  | 0.9     
ADA          | N/A           | 2019-08-19      | 2019-08-30    | N     | 1721        | N/A           | 0.1       | 37.5 | 22.8 | 9.0  | 9.5  | 7.0  | 0.9  | N/A  | N/A  | N/A  | 1.8    
PİAR         | N/A           | 2019-07-06      | 2019-07-11    | N     | 2460        | N/A           | 0.1       | 36.7 | 29.1 | 12.2 | 10.8 | 9.1  | 1.6  | N/A  | N/A  | N/A  | 0.5
MAK          | N/A           | 2019-05-15      | 2019-05-20    | N     | 11000       | N/A           | 0.1       | 40.7 | 28.5 | 11.3 | 8.0  | 8.0  | 1.2  | N/A  | N/A  | N/A  | 2.3     
AKAM         | N/A           | 2019-04-01      | 2019-04-30    | N     | N/A         | N/A           | 0.1       | 34.0 | 27.0 | 10.4 | 15.6 | 11.1 | 1.4  | N/A  | N/A  | N/A  | 0.5
AREA         | N/A           | 2019-03-01      | 2019-03-23    | N     | N/A         | N/A           | 0.1       | 37.5 | 25.8 | 12.1 | 9.6  | 13.2 | N/A  | N/A  | N/A  | N/A  | 1.8 
PİAR         | N/A           | 2019-01-13      | 2019-01-19    | N     | 9298        | N/A           | 0.1       | 35.0 | 25.9 | 11.0 | 13.6 | 12.1 | N/A  | N/A  | N/A  | N/A  | 2.4     
AREA         | N/A           | 2019-01-01      | 2019-01-31    | N     | N/A         | N/A           | 0.1       | 37.1 | 25.2 | 12.2 | 11.6 | 12.3 | N/A  | N/A  | N/A  | N/A  | 1.6
Optimar      | N/A           | 2018-12-28      | 2019-01-03    | N     | 2523        | N/A           | 0.1       | 45.5 | 28.6 | 7.6  | 7.6  | 7.7  | 1.4  | N/A  | N/A  | N/A  | 1.6     
AREA         | N/A           | 2018-12-01      | 2018-12-31    | N     | N/A         | N/A           | 0.1       | 38.8 | 25.0 | 10.8 | 11.2 | 12.2 | N/A  | N/A  | N/A  | N/A  | 2.0 
AREA         | N/A           | 2018-11-01      | 2018-11-30    | N     | N/A         | N/A           | 0.1       | 40.2 | 25.1 | 10.7 | 13.0 | 9.5  | N/A  | N/A  | N/A  | N/A  | 1.9
MetroPOLL    | N/A           | 2018-10-01      | 2018-10-31    | N     | N/A         | N/A           | 0.1       | 40.7 | 25.4 | 9.9  | 12.3 | 9.2  | 1.9  | N/A  | N/A  | N/A  | 0.6     
MAK          | N/A           | 2018-07-14      | 2018-07-19    | N     | 2990        | N/A           | 0.1       | 45.5 | 22.9 | 10.9 | 10.9 | 7.6  | 1.1  | N/A  | N/A  | N/A  | 1.1
ORC          | N/A           | 2018-07-01      | 2018-07-11    | N     | N/A         | N/A           | 0.1       | 44.7 | 24.7 | 8.9  | 12.3 | 8.3  | N/A  | N/A  | N/A  | N/A  | 1.1 
