Polling firm         | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | GERB  | BSP   | OP    | VMRO | NFSB | Attack | ABV | DPS   | Volya | RB  | DB    | DSB | YB  | ITN   | IS.B | V   | Other
Trend                | 24 hours      | 2020-08-29      | 2020-09-05    | NE    | 977         | N/A           | 0.1       | 24.6  | 24.1  | 4.0   | N/A  | N/A  | 1.1    | 0.2 | 10.7  | 1.2   | N/A | 10.2  | N/A | N/A | 16.4  | 4.1  | 1.2 | 2.2
Sova Harris          | N/A           | 2020-08-19      | 2020-08-25    | NE    | 1000        | 64.2          | 0.1       | 27.7  | 24.5  | N/A   | 3.7  | 0.6  | 0.9    | 1.1 | 9.2   | 3.0   | N/A | 7.0   | N/A | N/A | 15.7  | 4.5  | 0.6 | 1.0
Barometer Bulgaria   | N/A           | 2020-08-03      | 2020-08-11    | NE    | 842         | N/A           | 0.01      | 38.96 | 18.92 | 11.69 | N/A  | N/A  | N/A    | N/A | 12.24 | 1.67  | N/A | 4.82  | N/A | N/A | 5.38  | 1.86 | N/A | 4.45
Trend                | 24 hours      | 2020-08-03      | 2020-08-10    | NE    | 1010        | N/A           | 0.1       | 24.2  | 22.9  | 4.1   | N/A  | N/A  | 1.1    | 0.2 | 9.8   | 1.2   | N/A | 10.1  | N/A | N/A | 14.9  | 4.4  | 0.8 | 2.8
Gallup International | N/A           | 2020-07-30      | 2020-08-07    | NE    | 811         | 66.0          | 0.1       | 22.0  | 21.1  | 3.5   | N/A  | N/A  | N/A    | N/A | 10.3  | N/A   | N/A | 8.6   | N/A | N/A | 12.0  | 3.6  | N/A | 16.5
CAM                  | N/A           | 2020-08-01      | 2020-08-05    | NE    | 1021        | N/A           | 0.1       | 30.1  | 19.7  | 4.3   | N/A  | N/A  | N/A    | N/A | 10.8  | 2.1   | N/A | 10.1  | N/A | N/A | 13.9  | 5    | N/A | 3.9
Market LINKS         | N/A           | 2020-07-28      | 2020-08-03    | NE    | 1093        | 65.3          | 0.1       | 23.3  | 20.7  | 4.6   | N/A  | N/A  | N/A    | N/A | 9.6   | N/A   | N/A | 10.1  | N/A | N/A | 23.0  | 4.0  | N/A | 4.7
Gallup International | N/A           | 2020-07-01      | 2020-07-31    | NE    | N/A         | N/A           | 0.01      | 27.36 | 25.75 | 4.45  | N/A  | N/A  | N/A    | N/A | 8.49  | 2.43  | N/A | 3.23  | N/A | N/A | 8.63  | 1.75 | N/A | 17.92
Alpha Research       | Dnevnik       | 2020-07-23      | 2020-07-30    | NE    | 1017        | 54.3          | 0.1       | 26.7  | 19.2  | 4.1   | N/A  | N/A  | N/A    | N/A | 8.3   | 0.9   | N/A | 12.3  | N/A | N/A | 18.8  | 5.9  | 0.6 | 3.3
Sova Harris          | N/A           | 2020-06-26      | 2020-07-01    | NE    | 1000        | 57.0          | 0.1       | 37.4  | 21.4  | N/A   | 6.8  | 0.7  | 1.2    | 1.8 | 7.7   | 4.2   | N/A | 4.2   | N/A | N/A | 9.1   | 2.6  | 2.8 | N/A
Gallup International | N/A           | 2020-06-01      | 2020-06-30    | NE    | N/A         | N/A           | 0.01      | 29.04 | 23.13 | 3.81  | N/A  | N/A  | N/A    | N/A | 7.88  | 2.37  | N/A | 3.15  | N/A | N/A | 6.96  | 2.37 | N/A | 21.29
Barometer Bulgaria   | N/A           | 2020-06-20      | 2020-06-25    | NE    | 828         | N/A           | 0.01      | 37.48 | 20.43 | 10.01 | N/A  | N/A  | N/A    | N/A | 11.23 | 1.49  | N/A | 3.38  | N/A | N/A | 3.79  | 1.62 | N/A | 10.55
Market LINKS         | N/A           | 2020-05-27      | 2020-06-03    | NE    | 995         | 82.0          | 0.1       | 34.1  | 25.6  | N/A   | 3.7  | N/A  | N/A    | N/A | 9.8   | N/A   | N/A | 8.5   | N/A | N/A | 9.8   | N/A  | N/A | 8.5
Alpha Research       | Dnevnik       | 2020-04-28      | 2020-05-05    | NE    | 1000        | 62.2          | 0.1       | 33.4  | 19.6  | 6.3   | N/A  | N/A  | 1.4    | N/A | 10.3  | 1.6   | N/A | 5.9   | N/A | N/A | 14.6  | N/A  | N/A | 6.8
Mediana              | N/A           | 2020-02-21      | 2020-02-28    | NE    | 1008        | N/A           | 0.1       | 29.4  | 25.74 | 5.83  | N/A  | N/A  | N/A    | N/A | 13.28 | 1.9   | N/A | 2.71  | N/A | N/A | 12.87 | N/A  | N/A | 8.26
Barometer Bulgaria   | N/A           | 2020-02-27      | 2020-02-27    | NE    | N/A         | N/A           | 0.1       | 35.2  | 24    | 9     | N/A  | N/A  | N/A    | N/A | 10.5  | 1.4   | N/A | 3.1   | N/A | N/A | 3.7   | 1.6  | N/A | 11.5
Trend                | 24 hours      | 2020-02-03      | 2020-02-10    | NE    | 1007        | 63.9          | 0.1       | 31.8  | 28.3  | N/A   | 4.1  | N/A  | 1.6    | N/A | 10.5  | 2.0   | N/A | 6.3   | N/A | N/A | 11.1  | N/A  | N/A | 2.7
Barometer Bulgaria   | N/A           | 2020-01-09      | 2020-01-13    | NE    | 873         | N/A           | 0.1       | 35.5  | 28.2  | 11    | N/A  | N/A  | N/A    | N/A | 11    | N/A   | N/A | 3.2   | N/A | N/A | 3.6   | N/A  | N/A | 7.5
Alpha Research       | Dnevnik       | 2019-12-05      | 2019-12-12    | NE    | 1017        | 72.7          | 0.1       | 29.8  | 25.0  | 7.3   | N/A  | N/A  | 1.9    | N/A | 10.7  | 2.1   | N/A | 7.0   | N/A | N/A | 11.8  | N/A  | N/A | 4.3
Market LINKS         | N/A           | 2019-11-21      | 2019-11-28    | NE    | 980         | 63.0          | 0.1       | 28.6  | 25.4  | 6.3   | N/A  | N/A  | N/A    | N/A | 12.7  | 1.6   | N/A | 7.9   | N/A | N/A | 12.7  | N/A  | N/A | 3.2
Trend                | 24 hours      | 2019-11-07      | 2019-11-15    | NE    | 1008        | 64.3          | 0.1       | 37.0  | 28.6  | N/A   | 5.3  | N/A  | 1.7    | N/A | 10.7  | 1.9   | N/A | 4.8   | N/A | N/A | 7.9   | N/A  | N/A | 2.0
Alpha Research       | Dnevnik       | 2019-09-10      | 2019-09-16    | NE    | 1023        | 72.6          | 0.1       | 29.6  | 25.8  | 6.6   | N/A  | N/A  | 2.6    | N/A | 11.8  | 2.8   | N/A | 5.6   | N/A | N/A | 11.4  | N/A  | N/A | 3.7
Trend                | 24 hours      | 2019-07-05      | 2019-07-12    | NE    | 1008        | 62.5          | 0.1       | 38.1  | 30.2  | N/A   | 5.8  | 2.1  | 1.8    | N/A | 11.4  | 1.9   | N/A | 5.3   | N/A | N/A | N/A   | N/A  | N/A | 3.5
Market LINKS         | N/A           | 2019-06-11      | 2019-06-19    | NE    | 1001        | 87.7          | 0.1       | 34.9  | 33.0  | 6.8   | N/A  | N/A  | N/A    | N/A | 9.1   | 3.8   | N/A | 6.0   | N/A | N/A | N/A   | N/A  | N/A | 6.4
Trend                | N/A           | 2019-06-05      | 2019-06-12    | NE    | 1008        | N/A           | 0.1       | 36.7  | 29.1  | 7.4   | N/A  | N/A  | N/A    | N/A | 10.9  | 2     | N/A | 5.1   | N/A | N/A | N/A   | N/A  | N/A | 8.8
Mediana              | N/A           | 2019-05-02      | 2019-05-07    | E     | 1008        | N/A           | 1         | 30    | 32    | N/A   | 5    | 4    | 3      | 4   | 11    | 5     | N/A | 3     | N/A | N/A | N/A   | N/A  | N/A | N/A
Alpha Research       | Dnevnik       | 2019-04-20      | 2019-04-30    | E     | 1015        | N/A           | 1         | 33    | 33    | N/A   | 6    | 2    | 1      | 1   | 10    | 2     | N/A | 5     | N/A | N/A | N/A   | N/A  | N/A | N/A
Market LINKS         | N/A           | 2019-04-12      | 2019-04-22    | E     | 1049        | N/A           | 0.1       | 35.4  | 35.9  | N/A   | 5.7  | N/A  | N/A    | N/A | 7.0   | 1.9   | N/A | 5.3   | N/A | N/A | N/A   | N/A  | N/A | 8.8
Trend                | 24 hours      | 2019-04-05      | 2019-04-12    | E     | 1008        | N/A           | 0.1       | 30.5  | 31.3  | N/A   | 5.5  | 1.3  | 2.0    | 1.3 | 12.7  | 3.6   | N/A | 4.3   | N/A | N/A | N/A   | N/A  | N/A | 7.5
Gallup               | N/A           | 2019-04-05      | 2019-04-11    | E     | 1015        | N/A           | 0.1       | 31.0  | 32.1  | N/A   | 5.0  | 1.4  | 1.9    | 1.5 | 11.1  | 3.5   | 2   | 4.5   | N/A | N/A | N/A   | N/A  | N/A | 8.0
Alpha Research       | Dnevnik       | 2019-03-22      | 2019-03-26    | E     | 1011        | N/A           | 0.1       | 33.9  | 33.4  | N/A   | 4.1  | 2.2  | 2.1    | 1.2 | 10.6  | 1.9   | N/A | 5.1   | N/A | N/A | N/A   | N/A  | N/A | 5.5
Trend                | 24 hours      | 2019-03-06      | 2019-03-13    | E     | 1005        | N/A           | 0.1       | 33.6  | 30.4  | N/A   | 4.4  | 1.8  | 2.3    | N/A | 12.1  | 3.2   | N/A | 4.4   | N/A | N/A | N/A   | N/A  | N/A | 7.8
Sova Harris          | N/A           | 2019-03-06      | 2019-03-11    | E     | 1000        | N/A           | 0.1       | 38.2  | 30.6  | N/A   | 3.0  | 1.3  | 3.0    | 1.3 | 11.5  | 3.3   | N/A | 3.2   | N/A | N/A | N/A   | N/A  | N/A | 4.6
AFIS                 | N/A           | 2019-02-22      | 2019-02-28    | E     | 1010        | N/A           | 0.1       | 31.6  | 37.5  | 7.3   | N/A  | N/A  | N/A    | N/A | 13.0  | N/A   | N/A | 1.6   | N/A | N/A | N/A   | N/A  | N/A | 9.0
Mediana              | N/A           | 2020-02-21      | 2020-02-28    | NE    | 1008        | N/A           | 0.1       | 29.4  | 25.74 | 5.83  | N/A  | N/A  | N/A    | N/A | 13.28 | 1.9   | N/A | 2.71  | N/A | N/A | 12.87 | N/A  | N/A | 8.26
Exacta               | N/A           | 2019-02-19      | 2019-02-28    | E     | 1000        | N/A           | 0.1       | 35.1  | 29.0  | 9.6   | N/A  | N/A  | N/A    | 1.5 | 10.3  | 1.5   | N/A | 3.7   | N/A | N/A | N/A   | N/A  | N/A | 9.3
Market LINKS         | N/A           | 2019-02-15      | 2019-02-25    | E     | 1018        | N/A           | 0.1       | 36.2  | 29.7  | 7.5   | N/A  | N/A  | N/A    | N/A | 8.3   | 2.5   | N/A | 6.6   | N/A | N/A | N/A   | N/A  | N/A | 9.2
Trend                | 24 hours      | 2019-02-05      | 2019-02-13    | E     | 1007        | N/A           | 0.1       | 33.6  | 31.2  | 6.8   | N/A  | N/A  | N/A    | N/A | 11.7  | 2.7   | N/A | 4.1   | N/A | N/A | N/A   | N/A  | N/A | 9.9
Sova Harris          | N/A           | 2019-01-19      | 2019-01-21    | E     | 985         | N/A           | 0.1       | 37.6  | 32.6  | 9.4   | N/A  | N/A  | N/A    | 1.4 | 9.4   | 2.9   | N/A | 3.2   | N/A | N/A | N/A   | N/A  | N/A | 7.3
Market LINKS         | N/A           | 2019-01-12      | 2019-01-21    | E     | 1007        | N/A           | 0.1       | 37.9  | 27.1  | 8.5   | N/A  | N/A  | N/A    | N/A | 10.0  | 1.3   | N/A | 6.5   | N/A | N/A | N/A   | N/A  | N/A | 8.7
AFIS                 | N/A           | 2019-01-14      | 2019-01-19    | E     | 1010        | N/A           | 0.1       | 32.9  | 34.6  | 4.7   | N/A  | N/A  | N/A    | N/A | 11.0  | 1.4   | 2   | 1.4   | N/A | N/A | N/A   | N/A  | N/A | 12.0
Trend                | 24 hours      | 2019-01-10      | 2019-01-17    | E     | 1008        | N/A           | 1         | 36    | 34    | 7     | N/A  | N/A  | N/A    | N/A | 14    | 3     | N/A | 4     | N/A | N/A | N/A   | N/A  | N/A | N/A
Alpha Research       | Dnevnik       | 2018-12-14      | 2018-12-18    | E     | 1027        | N/A           | 1         | 33    | 31    | 6     | N/A  | N/A  | N/A    | N/A | 11    | 4     | N/A | 6     | N/A | N/A | N/A   | N/A  | N/A | N/A
Exacta               | N/A           | 2018-12-10      | 2018-12-17    | NE    | 1000        | 66.0          | 0.1       | 35.6  | 31.5  | 5.8   | N/A  | N/A  | N/A    | 1.5 | 7.7   | 1.5   | 1.5 | 3.8   | N/A | N/A | N/A   | N/A  | N/A | 10.6
Trend                | 24 hours      | 2018-11-30      | 2018-12-06    | NE    | 1007        | 61.5          | 0.1       | 36.1  | 33.7  | 7.2   | N/A  | N/A  | N/A    | N/A | 10.6  | 2.3   | 1.6 | 3.4   | N/A | N/A | N/A   | N/A  | N/A | 5.2
Market LINKS         | N/A           | 2018-11-16      | 2018-11-25    | NE    | 1005        | 41.0          | 0.1       | 41.2  | 38.5  | 5.6   | N/A  | N/A  | N/A    | N/A | 11.2  | 2.7   | N/A | 7.6   | N/A | N/A | N/A   | N/A  | N/A | 18.8
Trend                | 24 hours      | 2018-11-06      | 2018-11-12    | NE    | 1004        | 59.8          | 0.1       | 35.5  | 33.3  | 7.0   | N/A  | N/A  | N/A    | N/A | 10.9  | 2.3   | 1.8 | 3.2   | N/A | N/A | N/A   | N/A  | N/A | 6.0
Market LINKS         | N/A           | 2018-10-15      | 2018-10-24    | NE    | 1032        | 56.8          | 0.1       | 34.2  | 30.5  | 7.4   | N/A  | N/A  | N/A    | N/A | 7.9   | 1.4   | N/A | 5.3   | N/A | N/A | N/A   | N/A  | N/A | 13.2
Trend                | 24 hours      | 2018-10-01      | 2018-10-09    | NE    | 1006        | 61.4          | 0.1       | 36.5  | 32.4  | 9.0   | N/A  | N/A  | N/A    | N/A | 10.9  | 2.8   | 1.6 | 3.1   | N/A | N/A | N/A   | N/A  | N/A | 3.7
Exacta               | N/A           | 2018-09-28      | 2018-10-05    | NE    | 1000        | 65.8          | 0.1       | 36.0  | 30.5  | 8.4   | N/A  | N/A  | N/A    | 1.7 | 9.3   | 1.8   | 1.5 | 3.0   | N/A | N/A | N/A   | N/A  | N/A | 7.8
Alpha Research       | Dnevnik       | 2018-09-23      | 2018-09-30    | NE    | 1027        | 63.4          | 0.1       | 35.0  | 31.1  | 7.4   | N/A  | N/A  | N/A    | N/A | 10.4  | 3.2   | N/A | 4.6   | N/A | N/A | N/A   | N/A  | 0.8 | 7.6
Sova Harris          | BGNES         | 2018-09-08      | 2018-09-14    | NE    | 1000        | 59.1          | 0.1       | 40.8  | 33.8  | 8.0   | N/A  | N/A  | N/A    | 0.7 | 10.5  | 1.4   | N/A | 2.5   | 0.5 | N/A | N/A   | N/A  | N/A | 2.0
Trend                | 24 hours      | 2018-09-04      | 2018-09-11    | NE    | 1006        | 63.1          | 0.1       | 36.3  | 31.2  | 9.0   | N/A  | N/A  | N/A    | N/A | 10.1  | 2.4   | 2.1 | 3.5   | N/A | N/A | N/A   | N/A  | N/A | 5.4
Trend                | 24 hours      | 2018-08-01      | 2018-08-10    | NE    | 1006        | 63.0          | 0.1       | 37.1  | 31.9  | 8.9   | N/A  | N/A  | N/A    | N/A | 9.2   | 2.2   | 1.9 | 3.3   | N/A | N/A | N/A   | N/A  | N/A | 5.4
Trend                | 24 hours      | 2018-07-01      | 2018-07-08    | NE    | 1007        | 63.0          | 0.1       | 37.4  | 30.5  | 8.6   | N/A  | N/A  | N/A    | N/A | 8.8   | 2.4   | 1.7 | 3.5   | N/A | N/A | N/A   | N/A  | N/A | 6.8
Mediana              | N/A           | 2018-07-01      | 2018-07-06    | NE    | 1008        | 77.7          | 0.1       | 31.9  | 26.4  | 12.5  | N/A  | N/A  | N/A    | 2.4 | 10.7  | 2.7   | 1.8 | 2.1   | 0.5 | N/A | 6.0   | N/A  | N/A | 3.1
Market LINKS         | N/A           | 2018-06-23      | 2018-10-28    | NE    | 1065        | 55.8          | 0.1       | 36.4  | 30.3  | 7.5   | N/A  | N/A  | N/A    | N/A | 7.3   | 1.8   | N/A | 5.2   | N/A | N/A | N/A   | N/A  | N/A | 10.9
Alpha Research       | Dnevnik       | 2018-06-17      | 2018-06-25    | NE    | 1017        | 65.4          | 0.1       | 37.5  | 30.7  | 7.6   | N/A  | N/A  | N/A    | N/A | 7.5   | 3.4   | N/A | 3.4   | N/A | N/A | N/A   | N/A  | 0.6 | 9.3
Trend                | 24 hours      | 2018-06-01      | 2018-06-09    | NE    | 1008        | 63.0          | 0.1       | 36.7  | 31.4  | 8.7   | N/A  | N/A  | N/A    | N/A | 10.5  | 3.0   | 1.9 | 3.3   | N/A | N/A | N/A   | N/A  | N/A | 4.4
Trend                | 24 hours      | 2018-05-02      | 2018-05-10    | NE    | 1009        | 61.5          | 0.1       | 37.1  | 31.1  | 8.6   | N/A  | N/A  | N/A    | N/A | 10.4  | 2.8   | 2.1 | 3.7   | N/A | N/A | N/A   | N/A  | N/A | 4.2
Trend                | 24 hours      | 2018-03-01      | 2018-03-07    | NE    | 1004        | 60.4          | 0.1       | 34.9  | 30.5  | 8.4   | N/A  | N/A  | N/A    | N/A | 10.9  | 2.6   | 2.6 | N/A   | 1.7 | 2.5 | N/A   | N/A  | N/A | 5.8
Trend                | 24 hours      | 2018-02-01      | 2018-02-08    | NE    | 1004        | 59.8          | 0.1       | 34.6  | 30.4  | 8.7   | N/A  | N/A  | N/A    | N/A | 10.7  | 2.5   | 2.0 | N/A   | 1.7 | 2.5 | N/A   | N/A  | N/A | 6.9
Trend                | 24 hours      | 2018-01-10      | 2018-01-18    | NE    | 1002        | 60.9          | 0.1       | 35.8  | 30.0  | 8.7   | N/A  | N/A  | N/A    | N/A | 10.0  | 2.6   | 3.1 | N/A   | 1.6 | 2.6 | N/A   | N/A  | N/A | 5.4
Exacta               | N/A           | 2017-12-07      | 2017-12-13    | NE    | 1000        | 67.5          | 0.1       | 41.3  | 30.7  | 9.0   | N/A  | N/A  | N/A    | N/A | 8.4   | 2.7   | 2.1 | N/A   | 1.9 | 1.0 | N/A   | N/A  | N/A | 2.8
Trend                | 24 hours      | 2017-12-01      | 2017-12-10    | NE    | 1003        | 60.6          | 0.1       | 36.6  | 29.7  | 8.6   | N/A  | N/A  | N/A    | N/A | 9.9   | 2.6   | 3.1 | N/A   | 1.8 | 2.5 | N/A   | N/A  | N/A | 5.1
Market LINKS         | N/A           | 2017-11-24      | 2017-12-04    | NE    | 1058        | 58.6          | 0.1       | 37.7  | 28.8  | 6.5   | N/A  | N/A  | N/A    | N/A | 6.3   | 2.7   | N/A | N/A   | 3.6 | 5.3 | N/A   | N/A  | N/A | 9.0
Trend                | 24 hours      | 2017-11-03      | 2017-11-12    | NE    | 1005        | 60.6          | 0.1       | 35.0  | 29.4  | 8.9   | N/A  | N/A  | N/A    | N/A | 10.4  | 3.0   | 3.0 | N/A   | 1.8 | 2.3 | N/A   | N/A  | N/A | 6.3
Market LINKS         | N/A           | 2017-10-06      | 2017-10-16    | NE    | 1017        | 57.7          | 0.1       | 35.9  | 30.0  | 7.3   | N/A  | N/A  | N/A    | 1.7 | 5.7   | 5.7   | 2.3 | N/A   | 2.1 | 5.5 | N/A   | N/A  | N/A | 4.0
